[00:00:00.000 --> 00:00:04.200]  第三天看了前面这一个半小时呢跟大家分享的就是什么
[00:00:04.200 --> 00:00:05.400]  交易的方向
[00:00:05.400 --> 00:00:10.600]  还有一些就是不同的交易区会我们的这个分析的维度是不同的
[00:00:10.600 --> 00:00:12.800]  刚才讲的这几个点大多
[00:00:12.800 --> 00:00:14.400]  就是什么都是很重要的
[00:00:14.400 --> 00:00:15.200]  不是技术
[00:00:15.200 --> 00:00:16.600]  但比技术重要
[00:00:16.600 --> 00:00:20.600]  就像我说的波段趋势短线
[00:00:20.600 --> 00:00:21.600]  对吧
[00:00:21.600 --> 00:00:23.800]  那你的考虑的维度是不一样的
[00:00:23.800 --> 00:00:26.200]  波段和趋势就要有结构
[00:00:26.200 --> 00:00:29.400]  然后站在周线和月线的角度去考虑
[00:00:29.400 --> 00:00:31.800]  如果短线的话我们就是日线
[00:00:31.800 --> 00:00:34.000]  波段要求共振主生
[00:00:34.000 --> 00:00:36.800]  我们后面包括大家图上我都会慢慢带着
[00:00:36.800 --> 00:00:38.200]  带大家去展开的
[00:00:38.200 --> 00:00:41.000]  然后包括跟大家讲到了板块很重要
[00:00:41.000 --> 00:00:41.600]  对吧
[00:00:41.600 --> 00:00:42.400]  指数无所谓
[00:00:42.400 --> 00:00:43.600]  但是板块很重要
[00:00:43.600 --> 00:00:47.000]  还有讲到跟K线和趋势的一个关系
[00:00:47.000 --> 00:00:49.600]  因为只有今天一个半小时会讲这些
[00:00:49.600 --> 00:00:51.400]  就是这几个核心要点
[00:00:51.400 --> 00:00:56.000]  后面都是慢慢的把技术把知识点去剖析给大家
[00:00:56.000 --> 00:00:59.000]  所以大家对知识点的学习不用着急
[00:00:59.000 --> 00:01:01.600]  但一定是把我今天上午这一个多小时的
[00:01:01.600 --> 00:01:04.000]  几个核心观点要记在脑海里面
[00:01:04.000 --> 00:01:05.000]  一定要记在脑海里面
[00:01:05.000 --> 00:01:07.200]  千万不要什么都是波段
[00:01:07.200 --> 00:01:08.600]  市场给到我们什么盘局
[00:01:08.600 --> 00:01:09.600]  就是降维
[00:01:09.600 --> 00:01:11.800]  先从中长期看有没有
[00:01:11.800 --> 00:01:13.800]  没有降维到中期
[00:01:13.800 --> 00:01:15.600]  中期没有降维到30分钟级别
[00:01:15.600 --> 00:01:16.400]  大家听到有意思吧
[00:01:16.400 --> 00:01:17.300]  就学会降维
[00:01:17.300 --> 00:01:18.200]  这样的话呢
[00:01:18.200 --> 00:01:21.000]  不同的市场了解到现在市场的什么环境
[00:01:21.000 --> 00:01:22.400]  我们就做什么
[00:01:22.400 --> 00:01:25.000]  然后当这个市场环境开始呈现出
[00:01:25.000 --> 00:01:26.000]  比如深维
[00:01:26.000 --> 00:01:29.400]  还发现这个短线里面突然出现有虚实有波段的
[00:01:29.400 --> 00:01:31.200]  那你就给我主攻波段
[00:01:31.200 --> 00:01:33.200]  还发现波段里面有越线走好的
[00:01:33.200 --> 00:01:34.600]  有中长期的模型的
[00:01:34.600 --> 00:01:36.400]  那就主攻中长期模型
[00:01:36.400 --> 00:01:39.400]  就是这是一个动态的一个过程啊
[00:01:39.400 --> 00:01:41.200]  好我们继续回到这个
[00:01:41.200 --> 00:01:44.800]  回到这个什么就关于如何去实试
[00:01:44.800 --> 00:01:46.900]  换一个这个
[00:01:46.900 --> 00:01:50.500]  换一个K线图啊
[00:01:50.500 --> 00:01:51.800]  这都是时间比较短的
[00:01:51.800 --> 00:01:53.800]  我们放一个时间长一点点的
[00:01:53.800 --> 00:01:54.800]  先讲中长期
[00:01:54.800 --> 00:01:57.100]  然后再给大家讲这个中期
[00:01:57.100 --> 00:01:59.500]  然后最后再到日线的小级别
[00:01:59.500 --> 00:02:04.100]  我们就看这个好了啊
[00:02:04.100 --> 00:02:05.600]  航空
[00:02:05.600 --> 00:02:08.300]  先讲熊牛循环的这个变化
[00:02:08.300 --> 00:02:09.400]  我现在所讲的
[00:02:09.400 --> 00:02:12.700]  再次强调我们都是从高维到低维啊
[00:02:12.700 --> 00:02:13.600]  所有的知识点
[00:02:13.600 --> 00:02:15.200]  包括我跟大家分享的案例图也是
[00:02:15.200 --> 00:02:16.700]  先从高维到低维
[00:02:16.700 --> 00:02:18.900]  先讲越线的这个中长期
[00:02:18.900 --> 00:02:22.000]  因为为什么先从高维到低维呢
[00:02:22.000 --> 00:02:22.800]  一个股票
[00:02:22.800 --> 00:02:25.400]  如果它越线最大级别不具备
[00:02:25.400 --> 00:02:27.600]  你就知道它最这个方向
[00:02:27.600 --> 00:02:28.700]  或者这个板块
[00:02:28.700 --> 00:02:31.300]  它能产生的机会就是小机会
[00:02:31.300 --> 00:02:32.000]  小波段
[00:02:32.000 --> 00:02:33.100]  大家说是不是
[00:02:33.100 --> 00:02:34.900]  当它能够产生大机会的时候
[00:02:34.900 --> 00:02:36.000]  那我们就要开始
[00:02:36.000 --> 00:02:37.300]  开启三年不开张
[00:02:37.300 --> 00:02:38.100]  开张吃三年
[00:02:38.100 --> 00:02:39.000]  拿着不动
[00:02:39.000 --> 00:02:40.900]  因为做波段就是物股不动
[00:02:40.900 --> 00:02:41.600]  做短线
[00:02:41.600 --> 00:02:43.300]  我认为是极少成多
[00:02:43.300 --> 00:02:44.500]  负力增长
[00:02:44.500 --> 00:02:47.900]  它的这个模式是不一样的啊
[00:02:47.900 --> 00:02:49.100]  首先我们来看一下
