[00:00:00.000 --> 00:00:02.500]  还怕啥 机会肯定是多于风险的
[00:00:02.500 --> 00:00:04.400]  就看能力了 对不对
[00:00:04.400 --> 00:00:05.400]  也得买对
[00:00:05.400 --> 00:00:09.100]  因为我现在还是先在讲市的这个环节
[00:00:09.100 --> 00:00:10.500]  和我们交易的方向
[00:00:10.500 --> 00:00:13.100]  我再给大家稍微再
[00:00:13.100 --> 00:00:20.000]  就是我说我们的交易的一个方向
[00:00:20.000 --> 00:00:22.200]  先再讲 就是再过一下
[00:00:22.200 --> 00:00:25.500]  今天上午呢 我想跟大家传递的其实有很多
[00:00:25.500 --> 00:00:27.300]  不过是观念吧
[00:00:27.300 --> 00:00:29.500]  跟咱们之前分享
[00:00:30.200 --> 00:00:32.000]  其实还是区别挺大的
[00:00:32.000 --> 00:00:33.800]  还是区别挺大的
[00:00:33.800 --> 00:00:35.700]  一个呢 就是我们所说的
[00:00:35.700 --> 00:00:37.100]  我们交易的一个目标
[00:00:37.100 --> 00:00:38.200]  黑色的
[00:00:38.200 --> 00:00:41.300]  自己的多久了
[00:00:41.300 --> 00:00:41.700]  好
[00:00:41.700 --> 00:00:43.600]  一个就是交易的目标
[00:00:43.600 --> 00:00:45.100]  这是一定要明确的
[00:00:45.100 --> 00:00:47.200]  对吧 一定要明确的
[00:00:47.200 --> 00:00:49.700]  那所有的一切都是以目标为主向
[00:00:49.700 --> 00:00:50.700]  去
[00:00:50.700 --> 00:00:52.800]  去什么 去提升我们的概念
[00:00:52.800 --> 00:00:53.700]  大家认识吧
[00:00:53.700 --> 00:00:56.400]  所有一切 目标就是我们所讲的
[00:00:56.400 --> 00:00:57.700]  只做单边谱
[00:00:58.700 --> 00:00:59.700]  只做单边谱生
[00:00:59.700 --> 00:01:02.000]  就是说不定只做上升趋势嘛
[00:01:02.000 --> 00:01:03.800]  单边谱生就是上升趋势嘛
[00:01:03.800 --> 00:01:05.100]  你只做这个
[00:01:05.100 --> 00:01:08.100]  但单边谱生呈现出来的机会
