[00:00:00.000 --> 00:00:01.000]  什么密码
[00:00:01.000 --> 00:00:03.000]  哈哈哈对啊
[00:00:03.000 --> 00:00:04.000]  对对对
[00:00:04.000 --> 00:00:06.000]  那不是他说零数那个
[00:00:06.000 --> 00:00:08.000]  不是 每个人有每个人的数
[00:00:08.000 --> 00:00:11.000]  好了好了 咱不讲这些虚的东西了
[00:00:11.000 --> 00:00:14.000]  这些虚的东西你才不密码
[00:00:14.000 --> 00:00:17.000]  所有的掌握在自己的手里
[00:00:17.000 --> 00:00:19.000]  对 就是
[00:00:19.000 --> 00:00:20.000]  我跟你说
[00:00:20.000 --> 00:00:25.000]  学习就是掌握不满的开始
[00:00:25.000 --> 00:00:28.000]  所以咱们上课
[00:00:29.000 --> 00:00:31.000]  把时间过了这个吗
[00:00:31.000 --> 00:00:33.000]  就是恢复到别的东西
[00:00:33.000 --> 00:00:37.000]  你的吸引力法则
[00:00:37.000 --> 00:00:39.000]  你吸引好的自然就来好的
[00:00:39.000 --> 00:00:41.000]  我是这个观点
[00:00:41.000 --> 00:00:42.000]  就是上次我们说了一段
[00:00:42.000 --> 00:00:43.000]  因为
[00:00:43.000 --> 00:00:44.000]  看
[00:00:44.000 --> 00:00:46.000]  有的人是因为看见所以相信
[00:00:46.000 --> 00:00:48.000]  我一直秉持的是因为相信
[00:00:48.000 --> 00:00:50.000]  所以我一定看见
[00:00:50.000 --> 00:00:53.000]  对我一直以来是这样一个观点
[00:00:53.000 --> 00:00:54.000]  那个
[00:00:54.000 --> 00:00:55.000]  那个词啊
[00:00:55.000 --> 00:00:57.000]  吸过去
[00:00:57.000 --> 00:00:58.000]  对
[00:00:58.000 --> 00:01:00.000]  真的是这样
[00:01:00.000 --> 00:01:02.000]  我觉得很多东西还是说一个人
[00:01:02.000 --> 00:01:04.000]  我会觉得身体很智能
[00:01:04.000 --> 00:01:05.000]  但是有没有这种感觉
[00:01:05.000 --> 00:01:06.000]  不知道是不是我一个人
[00:01:06.000 --> 00:01:07.000]  我这种感觉对不对
[00:01:07.000 --> 00:01:09.000]  比如说我想说明天早上
[00:01:09.000 --> 00:01:10.000]  有时候早上起来
[00:01:10.000 --> 00:01:12.000]  我不给自己身体发出信号啊
[00:01:12.000 --> 00:01:14.000]  就是第二天早上起来是水肿的
[00:01:14.000 --> 00:01:16.000]  然后我今天晚上睡的时候
[00:01:16.000 --> 00:01:17.000]  我说明天早上我有很重要的事情
[00:01:17.000 --> 00:01:18.000]  千万不要让你水肿
[00:01:18.000 --> 00:01:19.000]  天地就水肿
[00:01:19.000 --> 00:01:21.000]  没有 第二天早上起来
[00:01:21.000 --> 00:01:23.000]  绝对不会让我水肿的
[00:01:23.000 --> 00:01:25.000]  我的身体就能够让我
[00:01:25.000 --> 00:01:26.000]  第二天不水肿
[00:01:26.000 --> 00:01:28.000]  晚上起来上几次厕所
[00:01:28.000 --> 00:01:29.000]  哈哈
[00:01:29.000 --> 00:01:30.000]  对
[00:01:30.000 --> 00:01:31.000]  真的是这样
[00:01:31.000 --> 00:01:33.000]  如果说我 我觉得好几次啊
[00:01:33.000 --> 00:01:35.000]  就是我想明天会很重要的事情
[00:01:35.000 --> 00:01:37.000]  我给我自己的身体发出信号
[00:01:37.000 --> 00:01:39.000]  发现它真的会听的
[00:01:39.000 --> 00:01:40.000]  所以我有时候
[00:01:40.000 --> 00:01:42.000]  你会觉得我们自己的身体真的很智能
[00:01:42.000 --> 00:01:43.000]  对
[00:01:43.000 --> 00:01:44.000]  破线
[00:01:44.000 --> 00:01:45.000]  对
[00:01:45.000 --> 00:01:46.000]  破线
[00:01:46.000 --> 00:01:47.000]  是的
[00:01:47.000 --> 00:01:50.000]  好 我们继续啊
[00:01:50.000 --> 00:01:52.000]  来把图打出来吧
[00:01:52.000 --> 00:01:53.000]  把图打出来吧
[00:01:53.000 --> 00:01:54.000]  我们来看这个好吧
[00:01:54.000 --> 00:01:56.000]  我先看一下哪几个适合啊
[00:01:56.000 --> 00:01:58.000]  中文在线的下跌
[00:01:58.000 --> 00:02:00.000]  因为我们刚才在吃饭之前讲
[00:02:00.000 --> 00:02:02.000]  他还没到呢
[00:02:02.000 --> 00:02:04.000]  没有 没什么
[00:02:04.000 --> 00:02:05.000]  讲的是阴线对不对
[00:02:05.000 --> 00:02:07.000]  那么现在就说对于阴线的卖点
[00:02:07.000 --> 00:02:09.000]  莱克电器的下跌
[00:02:09.000 --> 00:02:12.000]  我们现在就来认识这个走坏的这个K线
