[00:00:00.000 --> 00:00:05.640]  然后转为有效的这个结构这里的黑线是怎么把它给转出来的看得懂了吧
[00:00:05.640 --> 00:00:06.140]  对
[00:00:06.140 --> 00:00:09.720]  怎么样由弱慢慢变强的看得懂了吧
[00:00:09.720 --> 00:00:12.920]  为什么有的有的调整有的没的调整能理解了吧
[00:00:12.920 --> 00:00:14.200]  对不对
[00:00:14.200 --> 00:00:15.120]  是不是这样的
[00:00:15.120 --> 00:00:17.040]  所以我们说就是慢慢变强
[00:00:17.040 --> 00:00:19.200]  咱们接下来开始搞量
[00:00:19.200 --> 00:00:22.800]  咱们接下来开始看成架量
[00:00:22.800 --> 00:00:32.120]  量架我们K线用的是哪四个字
[00:00:32.120 --> 00:00:37.480]  K线用的是哪四个字
[00:00:37.480 --> 00:00:41.480]  多空博弈阴阳博弈对不对
[00:00:41.480 --> 00:00:44.680]  是不是我K线用的是多空阴阳博弈呀
[00:00:44.680 --> 00:00:49.000]  那么我们量架用的是什么呢
[00:00:49.000 --> 00:00:50.440]  叫筹码解套
[00:00:50.440 --> 00:00:56.640]  那么哎等一下等一下不在这
[00:00:56.640 --> 00:00:58.680]  这是量架的明天的内容
[00:00:58.680 --> 00:01:00.280]  不是筹码解套
[00:01:00.280 --> 00:01:01.320]  筹码转换
[00:01:01.320 --> 00:01:04.840]  量架在前面
[00:01:04.840 --> 00:01:18.440]  对量柱是用的是筹码的转换
[00:01:18.440 --> 00:01:24.480]  那么量是股市中最全面最真实最有价值的
[00:01:24.480 --> 00:01:29.640]  为什么我要先讲K线再讲量
[00:01:29.640 --> 00:01:34.200]  就是一根进攻K线里面我们的K线语言就很清楚了
[00:01:34.200 --> 00:01:34.520]  对吧
[00:01:34.520 --> 00:01:38.640]  就是一个进攻一个破坏一个分歧一个停顿
[00:01:38.640 --> 00:01:44.080]  停顿它可以是缩量也可以是放量也可以是聚量
[00:01:44.080 --> 00:01:44.920]  对不对
[00:01:44.920 --> 00:01:47.160]  那么按照正常来说
[00:01:47.160 --> 00:01:51.600]  进攻应该是怎么样的量
[00:01:51.600 --> 00:01:54.280]  放量
[00:01:54.280 --> 00:01:57.480]  进攻你得给我加上怀抱进攻
[00:01:57.480 --> 00:01:58.360]  对吧
[00:01:58.360 --> 00:02:00.120]  按正常进攻是要放量的
[00:02:00.120 --> 00:02:00.880]  对不对
[00:02:00.880 --> 00:02:02.120]  但我问问大家问题
[00:02:02.120 --> 00:02:04.560]  反之进攻没有放量呢
