[00:00:00.000 --> 00:00:05.000]  我这次讲的怎么这么慢
[00:00:05.000 --> 00:00:09.000]  这次就是慢慢慢慢地展开啊
[00:00:09.000 --> 00:00:12.000]  讲的有深度
[00:00:12.000 --> 00:00:14.000]  有深度啊
[00:00:14.000 --> 00:00:15.000]  必须的
[00:00:15.000 --> 00:00:16.000]  层层递进
[00:00:16.000 --> 00:00:18.000]  对 层层递进
[00:00:18.000 --> 00:00:26.000]  接下来就是贴亮珠啊
[00:00:28.000 --> 00:00:31.000]  贴亮珠在什么位置最好呢
[00:00:31.000 --> 00:00:33.000]  就是三到一
[00:00:33.000 --> 00:00:39.000]  贴亮珠我们分为倒贴亮和正贴亮
[00:00:39.000 --> 00:00:43.000]  分为倒贴亮和正贴亮
[00:00:43.000 --> 00:00:45.000]  那么什么叫正贴亮呢
[00:00:45.000 --> 00:00:48.000]  就是我们现在来看到的这种
[00:00:48.000 --> 00:00:53.000]  这是与其动吗
[00:00:53.000 --> 00:00:56.000]  比如说1 2 3 1
[00:00:56.000 --> 00:00:58.000]  对吧 我认为这是3 2 对不对
[00:00:58.000 --> 00:01:01.000]  那启动的过程大家可以看一下
[00:01:01.000 --> 00:01:03.000]  成交量架子向上
[00:01:03.000 --> 00:01:05.000]  这是平量吧 对不对
[00:01:05.000 --> 00:01:06.000]  这是一个小的吗
[00:01:06.000 --> 00:01:08.000]  小微它达不到贝亮吧
[00:01:08.000 --> 00:01:10.000]  微放亮
[00:01:10.000 --> 00:01:12.000]  然后再放亮
[00:01:12.000 --> 00:01:14.000]  然后再放亮是不是这三个
[00:01:14.000 --> 00:01:16.000]  先对这三个亮啊
[00:01:16.000 --> 00:01:18.000]  那么一个比一个什么
[00:01:18.000 --> 00:01:19.000]  高
[00:01:19.000 --> 00:01:21.000]  然后这个最高的亮的对的
[00:01:21.000 --> 00:01:23.000]  又是一个分歧
[00:01:23.000 --> 00:01:24.000]  看到没有
[00:01:24.000 --> 00:01:25.000]  是不是三个阳线
[00:01:25.000 --> 00:01:26.000]  它阳线再三个小阳线
[00:01:26.000 --> 00:01:28.000]  然后近宫中有点分歧
[00:01:28.000 --> 00:01:30.000]  近宫中分歧为主对不对
[00:01:30.000 --> 00:01:31.000]  那这个就叫贴亮
[00:01:31.000 --> 00:01:34.000]  如果是三贴亮是不好的
[00:01:34.000 --> 00:01:37.000]  正贴亮正贴亮是不好的
[00:01:37.000 --> 00:01:38.000]  不够好
[00:01:38.000 --> 00:01:39.000]  为什么叫不够好呢
[00:01:39.000 --> 00:01:40.000]  就是
[00:01:40.000 --> 00:01:43.000]  就是代表就是什么
[00:01:43.000 --> 00:01:45.000]  我就是今天我投入
[00:01:45.000 --> 00:01:47.000]  明天我又要加更大的资金来投入
[00:01:47.000 --> 00:01:49.000]  对然后我又后面再加
[00:01:49.000 --> 00:01:51.000]  更大的钱来投入
[00:01:51.000 --> 00:01:53.000]  那最后钱肯定会用光的
[00:01:53.000 --> 00:01:55.000]  所以我们说的正贴亮就是在这
[00:01:55.000 --> 00:01:57.000]  就钱不够的投入
[00:01:57.000 --> 00:01:59.000]  那么这个正贴亮
[00:01:59.000 --> 00:02:00.000]  如果一般进入三分钟
[00:02:00.000 --> 00:02:02.000]  第四根大家就要小心
[00:02:02.000 --> 00:02:04.000]  但我给大家的观点就是
[00:02:04.000 --> 00:02:05.000]  正贴亮的股票
[00:02:05.000 --> 00:02:07.000]  通常比如说到这里出现分歧
[00:02:07.000 --> 00:02:09.000]  你就走再说
[00:02:09.000 --> 00:02:11.000]  我们说T3房4对吧
[00:02:11.000 --> 00:02:13.000]  那你一般喜欢在这里分歧
[00:02:13.000 --> 00:02:15.000]  第四天在重铸你就走再说
[00:02:15.000 --> 00:02:16.000]  就一场再说
[00:02:16.000 --> 00:02:18.000]  不要那个就是
[00:02:18.000 --> 00:02:19.000]  我再拿一辆
[00:02:19.000 --> 00:02:22.000]  因为正贴亮就代表着筹码什么
[00:02:22.000 --> 00:02:24.000]  筹码不断不断的上攻
[00:02:24.000 --> 00:02:26.000]  你都解决不了这个问题
[00:02:26.000 --> 00:02:28.000]  那你后面再上涨也很难
[00:02:28.000 --> 00:02:29.000]  正贴亮
[00:02:29.000 --> 00:02:31.000]  这个也是样子呢
[00:02:31.000 --> 00:02:34.000]  或者是哪怕他上涨他也涨不顺
[00:02:34.000 --> 00:02:36.000]  哪怕他再上涨他也涨得不顺
[00:02:36.000 --> 00:02:38.000]  来看一下这是不是
[00:02:38.000 --> 00:02:39.000]  一
[00:02:39.000 --> 00:02:40.000]  二
