[00:00:00.000 --> 00:00:03.720]  有的人比像我们说的做油资的多厉害
[00:00:03.720 --> 00:00:06.120]  人家三把四把五把照样敢追
[00:00:06.120 --> 00:00:07.200]  人家就是敢
[00:00:07.200 --> 00:00:08.200]  我也不敢
[00:00:08.200 --> 00:00:10.360]  对吧你说是我
[00:00:10.360 --> 00:00:11.600]  有的时候是看不懂吗
[00:00:11.600 --> 00:00:12.680]  也不是
[00:00:12.680 --> 00:00:14.080]  就是不敢
[00:00:14.080 --> 00:00:16.720]  就像那些几个那个正单的那个
[00:00:16.720 --> 00:00:18.800]  那个20厘米之前
[00:00:18.800 --> 00:00:21.600]  4月17号过后4月28号还是几号
[00:00:21.600 --> 00:00:24.160]  那天正好我陪我女儿去出去玩在水上论运
[00:00:24.160 --> 00:00:25.960]  然后下午跟着她在水上
[00:00:25.960 --> 00:00:27.760]  不是推迟一个小时吗
[00:00:27.760 --> 00:00:30.120]  第二天那个起动我就不敢买
[00:00:30.120 --> 00:00:31.600]  对吧我也知道她没长吧
[00:00:31.600 --> 00:00:33.040]  我也知道她还要长
[00:00:33.040 --> 00:00:34.120]  我就不敢买了
[00:00:34.120 --> 00:00:36.440]  那我就不买了吗
[00:00:36.440 --> 00:00:39.760]  对吧我告诉你你也不见得敢买啊
[00:00:39.760 --> 00:00:41.000]  所以我们说的是什么呢
[00:00:41.000 --> 00:00:42.960]  就是每个人对于股价
[00:00:42.960 --> 00:00:46.080]  或者是对于K线的波动有你自己的承受力的
[00:00:46.080 --> 00:00:47.440]  你就做你自己
[00:00:47.440 --> 00:00:49.840]  比如说四五个点的反包的我就敢买的
[00:00:49.840 --> 00:00:51.560]  你就做这种你敢买的
[00:00:51.560 --> 00:00:54.240]  七八个点的你就做七八点的敢买的
[00:00:54.240 --> 00:00:56.160]  你如果说分析的够深刻
[00:00:56.160 --> 00:00:58.720]  因为大部分十几个点的或者二十个点的板
[00:00:58.720 --> 00:01:00.360]  现在的环境很难做
[00:01:00.360 --> 00:01:01.840]  也确实不敢买
[00:01:01.840 --> 00:01:03.240]  不敢买咱就不敢买
[00:01:03.240 --> 00:01:04.240]  不买
[00:01:04.240 --> 00:01:07.360]  因为我就就这个话得跟大家讲一下
[00:01:07.360 --> 00:01:10.760]  交易过程中很多说真心话呢
[00:01:10.760 --> 00:01:15.760]  你技术学会跟你自己的心理博弈
[00:01:15.760 --> 00:01:19.560]  对吧还是有很多的一些就是
[00:01:19.560 --> 00:01:22.640]  需要自己去这只能说是自己去打磨的
[00:01:22.640 --> 00:01:23.920]  为什么我们
[00:01:23.920 --> 00:01:25.560]  像大家学了我的技术之后
[00:01:25.560 --> 00:01:27.760]  你们经常会放飞牛骨
[00:01:27.760 --> 00:01:29.840]  这个放飞牛骨你说是看不懂吗
[00:01:29.840 --> 00:01:30.680]  不是的
[00:01:30.680 --> 00:01:32.160]  是既看懂了
[00:01:32.160 --> 00:01:34.160]  又被这个K线波动的过程中
[00:01:34.160 --> 00:01:36.320]  把自己给折磨的美
[00:01:36.320 --> 00:01:37.920]  对吧
[00:01:37.920 --> 00:01:38.960]  痛苦吗
[00:01:38.960 --> 00:01:41.480]  痛苦吗就放弃吗对不对
[00:01:41.480 --> 00:01:44.880]  所以这个过程的打磨呢只能靠自己
[00:01:44.880 --> 00:01:47.000]  但我只能跟大家说了一句话是
[00:01:47.000 --> 00:01:49.320]  反正你最终打磨打磨发现
[00:01:49.320 --> 00:01:52.320]  就是昨天晚上跟大家有几个朋友一起吃饭
[00:01:52.320 --> 00:01:53.560]  就猜了一个说的一个字
[00:01:53.560 --> 00:01:57.600]  这种打磨打磨就得到后面两个字信仰
[00:01:57.600 --> 00:01:59.640]  对吧对这套体系的信仰
[00:01:59.640 --> 00:02:02.240]  对你切入点是否正确
[00:02:02.240 --> 00:02:04.160]  以及这套体系的信仰
[00:02:04.160 --> 00:02:06.520]  以及这套体系只是一个
[00:02:06.520 --> 00:02:08.440]  我觉得这套体系所有的知识
[00:02:08.440 --> 00:02:09.800]  我认为是一个工具啊
[00:02:09.800 --> 00:02:12.360]  包括我所说的交易体系
[00:02:12.360 --> 00:02:14.640]  或者我教给大家的方法再认同吧
[00:02:14.640 --> 00:02:16.480]  这都是工具
[00:02:16.480 --> 00:02:18.120]  都是你拿来用的
[00:02:18.120 --> 00:02:20.080]  你拿来用了这套工具之后
[00:02:20.080 --> 00:02:22.960]  你产生什么那个思考
[00:02:22.960 --> 00:02:25.920]  其实这个思考才是建立信仰的
[00:02:25.920 --> 00:02:27.440]  大家理解我意思没有
[00:02:27.440 --> 00:02:29.320]  这是比如说我教给你们的方法
[00:02:29.320 --> 00:02:31.000]  持参的方法也好买点的方法
[00:02:31.000 --> 00:02:32.320]  这都叫工具
[00:02:32.320 --> 00:02:35.200]  这个工具用来你是要自己去深耕去思考的
[00:02:35.200 --> 00:02:37.320]  结合盘面结合你自己分析的个股
[00:02:37.320 --> 00:02:41.000]  结合这家公司你喜欢它的业绩的成长也好
[00:02:41.000 --> 00:02:42.040]  或者是公司的成长
[00:02:42.040 --> 00:02:44.160]  或者是它有一个突发的题材也好
[00:02:44.160 --> 00:02:47.040]  或者是有什么什么什么样的消息也好
[00:02:47.040 --> 00:02:49.560]  结合起来深耕成自己的信仰
[00:02:49.560 --> 00:02:51.440]  它不是一个
[00:02:51.440 --> 00:02:54.640]  我觉得我们人是做不到量化交易的
[00:02:54.640 --> 00:02:57.200]  因为量化交易是一个没有情绪的
[00:02:57.200 --> 00:02:59.280]  但是我们人是有情绪的
[00:02:59.280 --> 00:03:01.840]  所以在面对敢与不敢的过程中
[00:03:01.840 --> 00:03:03.640]  就是找自己最舒服的
[00:03:03.640 --> 00:03:06.200]  就像有时候黄惠大哥给我看股票我也不喜欢
[00:03:06.200 --> 00:03:07.840]  但他人家就是做得好啊
[00:03:07.840 --> 00:03:10.960]  人家每次赚十几二十个点呢 对吧
[00:03:10.960 --> 00:03:13.880]  对不对 他就是确定的 买完人家就是上涨啊
[00:03:13.880 --> 00:03:15.520]  你说按照那个股心的角度讲
[00:03:15.520 --> 00:03:17.080]  我就黄惠大哥 大洋线都没有
[00:03:17.080 --> 00:03:17.880]  我真的不喜欢
[00:03:17.880 --> 00:03:20.480]  人家就是就空盘了 后面就是上涨了
[00:03:20.480 --> 00:03:21.840]  他有他喜欢的
[00:03:21.840 --> 00:03:25.200]  你只要找到你自己交易的确定性
[00:03:25.200 --> 00:03:28.440]  你的交易跟比如说你们俩都不一样的
[00:03:28.440 --> 00:03:29.800]  就同样这个体系
[00:03:29.800 --> 00:03:32.400]  只要找到你自己交易的舒服的感觉
[00:03:32.400 --> 00:03:37.360]  和你自己能够学习所掌握的这些工具
[00:03:37.360 --> 00:03:38.800]  我说体系也是用来
[00:03:38.800 --> 00:03:40.640]  我们人放大一个维度
[00:03:40.640 --> 00:03:42.560]  知识不就是工具嘛 对不对
[00:03:42.560 --> 00:03:43.720]  拿来用的嘛
[00:03:43.720 --> 00:03:45.760]  那么能够建立你自己最舒服的
[00:03:45.760 --> 00:03:49.920]  你觉得我做这个出手的成功率高的就可以了
[00:03:49.920 --> 00:03:51.360]  我们在座的每个人
[00:03:51.360 --> 00:03:53.560]  你最后形成的其实都会不一样的
[00:03:53.560 --> 00:03:55.000]  不会完全一样的
[00:03:55.000 --> 00:03:57.280]  所以自己慢慢去什么
[00:03:57.280 --> 00:04:00.280]  就找你自己舒服的啊
[00:04:00.280 --> 00:04:02.200]  我们今天
[00:04:02.200 --> 00:04:03.360]  今天在开始之前
[00:04:03.360 --> 00:04:06.360]  今天大家都比较清醒啊
[00:04:06.360 --> 00:04:09.120]  再来把这个买点再讲一讲啊
[00:04:09.120 --> 00:04:12.720]  买点再稍微再讲一讲
[00:04:12.720 --> 00:04:17.080]  我们看图啊
[00:04:17.080 --> 00:04:18.600]  来
[00:04:18.600 --> 00:04:21.240]  先把这个日线的小短线的讲一讲
[00:04:21.240 --> 00:04:23.280]  这有一个图让大家做的
[00:04:23.280 --> 00:04:30.560]  就是我结的还不是那么的规则
[00:04:30.560 --> 00:04:32.360]  就肯定有更规则的
[00:04:32.360 --> 00:04:35.800]  结的日线图里面那个奥马是规则的
[00:04:35.800 --> 00:04:38.720]  然后
[00:04:38.720 --> 00:04:40.360]  奥马是规则的
[00:04:40.360 --> 00:04:43.320]  然后九木王也是规则的啊
[00:04:43.320 --> 00:04:45.360]  对吧 九木王大家都能看得出来比较规则
[00:04:45.360 --> 00:04:46.840]  我们先说日线
[00:04:46.840 --> 00:04:49.720]  莱克电器也是比较规则的
[00:04:49.720 --> 00:04:50.480]  然后来看一下
[00:04:50.480 --> 00:04:54.000]  另外一个没有那么规则的补耐股份
[00:04:54.000 --> 00:04:55.360]  就是我们说的小短线
[00:04:55.360 --> 00:04:57.640]  我现在讲先把小短线的买点
[00:04:57.640 --> 00:05:00.960]  用日线的买点的方式给大家分享
[00:05:00.960 --> 00:05:02.280]  日线买点你掌握透了
[00:05:02.280 --> 00:05:06.760]  回到周线就是趋势波段的买点的确认嘛
[00:05:06.760 --> 00:05:08.120]  这三个大家可以拿出来
[00:05:08.120 --> 00:05:10.800]  他们都是有不同的区别的啊
[00:05:10.800 --> 00:05:11.920]  四个 四个
[00:05:11.920 --> 00:05:13.800]  莱克都是日线上的
[00:05:13.800 --> 00:05:15.520]  其他这边都是周线
[00:05:15.520 --> 00:05:20.640]  莱克 九木王 奥马电器和补耐股份
[00:05:20.640 --> 00:05:22.200]  和补耐股份
[00:05:22.200 --> 00:05:28.240]  莱克大家不用讲了
[00:05:28.240 --> 00:05:29.000]  大家都做过了
[00:05:29.000 --> 00:05:31.920]  现在可以再看一下莱克他的买点
[00:05:31.920 --> 00:05:36.120]  对吧 他那个买点的进攻是在哪一个
[00:05:36.120 --> 00:05:37.720]  他随后的回彩是不是
[00:05:37.720 --> 00:05:40.560]  不会回到我们所说的城池的
[00:05:40.560 --> 00:05:42.280]  进攻了这个城池之后是不是回来
[00:05:42.280 --> 00:05:44.320]  不会再回到这个城池的
