[00:00:00.000 --> 00:00:05.500]  好 我们准备开始了
[00:00:05.500 --> 00:00:10.300]  然后我们今天的话说几个点
[00:00:10.300 --> 00:00:12.100]  第一个呢就是我们今天差不多
[00:00:12.100 --> 00:00:13.500]  因为大家都要回去
[00:00:13.500 --> 00:00:16.300]  而且说实话主要的知识都教差不多了
[00:00:16.300 --> 00:00:18.800]  基本上都教完了
[00:00:18.800 --> 00:00:22.100]  后面还有就是不断的在一些细节点在强化
[00:00:22.100 --> 00:00:26.000]  然后呢第一个就是我们今天尽量在4点50左右结束
[00:00:26.000 --> 00:00:28.600]  然后这样大家就是去东站的呀
[00:00:28.600 --> 00:00:31.200]  或者是去机场的稍微方便一点
[00:00:31.200 --> 00:00:35.500]  然后如果说我们在座的就是有
[00:00:35.500 --> 00:00:36.500]  比如说打车呀
[00:00:36.500 --> 00:00:38.900]  或者说是那个路线不是特别是清楚的
[00:00:38.900 --> 00:00:41.700]  可以先休息的时间可以问一下馨月
[00:00:41.700 --> 00:00:42.800]  帮你比如说怎么打车
[00:00:42.800 --> 00:00:44.600]  或者怎么样帮你安排一下
[00:00:44.600 --> 00:00:47.800]  然后第二个呢就是我们这次的这个三天的餐
[00:00:47.800 --> 00:00:50.500]  和那个点心还有我们会议室呢
[00:00:50.500 --> 00:00:51.700]  是我这边安排了
[00:00:51.700 --> 00:00:53.400]  下次是大家AA啊
[00:00:53.400 --> 00:00:55.400]  这次呢就我们我这边统一安排了
[00:00:55.400 --> 00:00:57.700]  请大家吃便餐
[00:00:57.700 --> 00:01:01.100]  然后另外的话呢就是我们所说的这个
[00:01:01.100 --> 00:01:03.100]  三天的这个录音
[00:01:03.100 --> 00:01:05.600]  因为我们我发现大家这次真的都很配合
[00:01:05.600 --> 00:01:09.200]  你没发现你你们很配合我真的是毫无保留啊
[00:01:09.200 --> 00:01:11.100]  然后大家录音千万不要外传
[00:01:11.100 --> 00:01:14.200]  因为我也知道我们在座的都不可能说是
[00:01:14.200 --> 00:01:15.200]  就单打独斗
[00:01:15.200 --> 00:01:18.300]  肯定我们上课的过程都会认识一些同学什么的
[00:01:18.300 --> 00:01:19.600]  我希望大家不要外传
[00:01:19.600 --> 00:01:20.900]  你就自己听听就好了
[00:01:20.900 --> 00:01:22.600]  同学也不要给
[00:01:22.600 --> 00:01:24.500]  要给就告诉他你跟老师说
[00:01:24.500 --> 00:01:26.700]  我想复训你等他安排
[00:01:26.700 --> 00:01:28.600]  对吧反正今年复训是过去了
[00:01:28.600 --> 00:01:30.600]  今年肯定是没安排了
[00:01:30.600 --> 00:01:32.000]  明年再说
[00:01:32.000 --> 00:01:33.400]  就是等明年安排
[00:01:33.400 --> 00:01:35.500]  但是再次强调你复读音不要给
[00:01:35.500 --> 00:01:38.500]  虽然我们我们付出的价格不多
[00:01:38.500 --> 00:01:40.300]  但是你自己去打磨就好了
[00:01:40.300 --> 00:01:42.800]  因为你要知道你付出的可能是就两万多的水费
[00:01:42.800 --> 00:01:45.400]  但我付出的是十几年的心血
[00:01:45.400 --> 00:01:46.100]  对吧
[00:01:46.100 --> 00:01:48.200]  所以大家就自己保管自己听
[00:01:48.200 --> 00:01:49.900]  因为就是为自己负责
[00:01:49.900 --> 00:01:52.600]  不要去外传就是我再次强调啊
[00:01:52.600 --> 00:01:54.400]  因为说真心话呢
[00:01:54.400 --> 00:01:56.700]  我觉得这条路本身就很艰辛
[00:01:56.700 --> 00:01:59.100]  我们我艰辛你们也艰辛
[00:01:59.100 --> 00:02:01.200]  在艰辛的这个路上我们自己
[00:02:01.200 --> 00:02:01.500]  对吧
[00:02:01.500 --> 00:02:04.500]  因为能够相互信任而互相抱团取暖
[00:02:04.500 --> 00:02:06.600]  我们自己抱团取暖就好了
[00:02:06.600 --> 00:02:07.600]  大家认同吧
[00:02:07.600 --> 00:02:11.700]  我们自己为自己去提升自己加强自己就好啊
[00:02:11.700 --> 00:02:13.000]  然后我们接下来呢
[00:02:13.000 --> 00:02:16.400]  来分享一下这个黄金解套
[00:02:16.400 --> 00:02:18.200]  这个我们就不用展开了吧
[00:02:18.200 --> 00:02:20.500]  就是关于流转趋势的放量
[00:02:20.500 --> 00:02:22.800]  因为我们前面是不是都展开过了
[00:02:22.800 --> 00:02:25.200]  对吧就是初期放量
[00:02:25.200 --> 00:02:28.900]  就是这个叫什么就是出坑的时候啊
[00:02:28.900 --> 00:02:32.200]  出坑的时候或者稍微稍微展开一下
[00:02:32.200 --> 00:02:34.400]  出坑的时候是要放量的
[00:02:34.400 --> 00:02:39.700]  因为这个像这种就没有什么
[00:02:39.700 --> 00:02:42.800]  特别清晰的一个结构大家可以看到
[00:02:42.800 --> 00:02:43.100]  对吧
[00:02:43.100 --> 00:02:46.400]  你看请问大家从日线的角度来说
[00:02:46.400 --> 00:02:50.000]  可不可以把这里这是不是一
[00:02:50.000 --> 00:02:51.500]  空转多吗
[00:02:51.500 --> 00:02:52.900]  对这里的空转多吗
[00:02:52.900 --> 00:02:54.100]  再来看下面的成绩量
[00:02:54.100 --> 00:02:56.900]  这个一是不是大于过去的一倍左右
[00:02:56.900 --> 00:02:57.600]  对吧
[00:02:57.600 --> 00:03:00.700]  然后二二是不是又转为空了
[00:03:00.700 --> 00:03:01.500]  对不对就不好
[00:03:01.500 --> 00:03:02.800]  所以我们需要什么
[00:03:02.800 --> 00:03:04.400]  你看这里就很漂亮
[00:03:04.400 --> 00:03:06.700]  其实这种是可以买的
[00:03:06.700 --> 00:03:07.400]  可以看
[00:03:07.400 --> 00:03:09.500]  因为它一根K线就什么
[00:03:09.500 --> 00:03:10.300]  一氧转乾坤
[00:03:10.300 --> 00:03:13.800]  这是K线里面是进空氧几啊
[00:03:13.800 --> 00:03:15.500]  这是进空氧几啊
[00:03:15.500 --> 00:03:16.200]  16
[00:03:16.200 --> 00:03:18.700]  6是怀抱还是反打还是什么
[00:03:18.700 --> 00:03:19.100]  怀抱
[00:03:19.100 --> 00:03:20.200]  说怀抱
[00:03:20.200 --> 00:03:22.800]  所以我讲到的就是你能买的
[00:03:22.800 --> 00:03:23.600]  是6号
[00:03:23.600 --> 00:03:25.300]  6号大家都知道一氧转乾坤
[00:03:25.300 --> 00:03:26.200]  对不对
[00:03:26.200 --> 00:03:28.200]  一根阳线把整个势一起带动了
[00:03:28.200 --> 00:03:29.300]  而且是开盘
[00:03:29.300 --> 00:03:31.400]  然后它是6还要结合是怀抱
[00:03:31.400 --> 00:03:35.100]  那么这种的话后面回头对吧
[00:03:35.100 --> 00:03:38.300]  你像正好白道是怀抱这个一线呢
[00:03:38.300 --> 00:03:40.500]  挂一条线是不是这个阳线出来之后
