[00:00:00.000 --> 00:00:22.800]  (拍攝中)
[00:00:22.800 --> 00:00:24.800]  好 我們準備開始
[00:00:25.300 --> 00:00:25.800]  來了
[00:00:25.800 --> 00:00:35.300]  喂
[00:00:35.300 --> 00:00:39.300]  這是什麼意思
[00:00:39.300 --> 00:00:40.100]  喂
[00:00:40.100 --> 00:00:50.300]  我們今天下午在我開始分享之前呢
[00:00:50.300 --> 00:00:52.300]  我專門在我們這次聚會之前
[00:00:52.300 --> 00:00:53.200]  我就提前了
[00:00:53.900 --> 00:00:54.800]  半個月啊
[00:00:54.800 --> 00:00:57.600]  跟我們子涵約約了一下
[00:00:57.600 --> 00:01:02.200]  請他準備準備一下他這兩年學習的這個最新的新的
[00:01:02.200 --> 00:01:04.900]  因為我覺得年輕就是什麼
[00:01:04.900 --> 00:01:06.500]  學習力真的很強
[00:01:06.500 --> 00:01:07.900]  而且他非常的優秀
[00:01:07.900 --> 00:01:09.400]  從我們第一次見面
[00:01:09.400 --> 00:01:11.700]  我就覺得我說子涵你就是適合自投資的
[00:01:11.700 --> 00:01:13.000]  非常非常優秀
[00:01:13.000 --> 00:01:15.800]  一直這兩年在不斷不斷在學習
[00:01:15.800 --> 00:01:17.700]  我跟大家一樣也是
[00:01:17.700 --> 00:01:21.700]  一起來分享他這兩年的一個新的成長和收穫
[00:01:21.800 --> 00:01:24.700]  來跟我們在座的所有的朋友來一起分享學習
[00:01:24.700 --> 00:01:25.900]  來我們掌聲有請
[00:01:25.900 --> 00:01:30.300]  OK了啊
[00:01:30.300 --> 00:01:33.100]  這話我聲音那麼輕
[00:01:33.100 --> 00:01:34.600]  後面能不能聽見
[00:01:34.600 --> 00:01:36.900]  我聲音很大是吧
[00:01:36.900 --> 00:01:39.000]  太慘了
[00:01:39.000 --> 00:01:41.800]  在聖明老師的課上講課的壓力實在是太大了
[00:01:41.800 --> 00:01:43.200]  聖明老師講的實在是太好
[00:01:43.200 --> 00:01:48.100]  我不知道又到底要大概講到什麼程度可以靠近
[00:01:48.100 --> 00:01:50.100]  有一種靠近的趨勢
[00:01:50.800 --> 00:01:53.600]  那麼那麼在這個期
[00:01:53.600 --> 00:01:56.200]  我在今天課上的時候感覺好像
[00:01:56.200 --> 00:01:58.200]  有些朋友是經常看見
[00:01:58.200 --> 00:02:00.100]  然後有些很多是新的面孔
