[00:00:00.000 --> 00:00:02.000]  破壞中的分期
[00:00:02.000 --> 00:00:11.000]  進攻有進攻中的分期和破壞中的分期
[00:00:11.000 --> 00:00:15.000]  那我們說它除了在日線上用就是短線
[00:00:15.000 --> 00:00:18.000]  還可以在週線和月線上
[00:00:18.000 --> 00:00:21.000]  我一直在講就是月線的級別就是中長期
[00:00:21.000 --> 00:00:24.000]  週線就是波段 日線就是短線
[00:00:24.000 --> 00:00:27.000]  應用的週期越長可靠性越強
[00:00:27.000 --> 00:00:31.000]  所有的牛股黑馬股都必須符合K線的博弈法則
[00:00:31.000 --> 00:00:34.000]  如果月線出現進攻K線 月線反打前三
[00:00:34.000 --> 00:00:38.000]  月線出現懷抱頂橫盤的K線都是容易大漲
[00:00:38.000 --> 00:00:43.000]  所以月線是出現破壞性K線就是熊式的開啟
[00:00:43.000 --> 00:00:45.000]  如果我們做波段大家可以聽出來了
[00:00:45.000 --> 00:00:51.000]  如果你是做波段前提就是月線有沒有出現什麼反打
[00:00:51.000 --> 00:00:53.000]  月線有沒有出現陽性K線
[00:00:53.000 --> 00:00:57.000]  如果你想做趨勢波段月線連陽性K線都沒有
[00:00:57.000 --> 00:01:00.000]  月線反打都沒有就不要考慮就是短線
[00:01:00.000 --> 00:01:05.000]  K線的組合從小到大放在月線中
[00:01:05.000 --> 00:01:08.000]  就可以來挖掘趨勢波段的強勢果
[00:01:08.000 --> 00:01:13.000]  我們來看這一個
[00:01:13.000 --> 00:01:15.000]  這是不是這是一個月線圖我記得
[00:01:15.000 --> 00:01:17.000]  截圖的時候應該是個月線圖
[00:01:17.000 --> 00:01:23.000]  我們可以看到這裡這是個月線圖
[00:01:23.000 --> 00:01:26.000]  你看大家可以看整個股票從上市以來
[00:01:26.000 --> 00:01:28.000]  是不是只有到這個月的
[00:01:28.000 --> 00:01:30.000]  這是一個月線的一個波段對不對
[00:01:30.000 --> 00:01:32.000]  看不到手錶
[00:01:32.000 --> 00:01:38.000]  我們可以看這整個圖是不是對月線形成突破之後
[00:01:38.000 --> 00:01:42.000]  我們可以看到這個圖是不是對月線形成突破之後
[00:01:42.000 --> 00:01:48.000]  我們可以看這整個圖是不是對月線形成突破之後才行
[00:01:48.000 --> 00:01:52.000]  對不對你看月線扭轉你看這個是什麼解決問題的態度
